logical_reasoning,verbal_ability,quantitative_aptitude,technical_skills,personality_type,interest_area,academic_performance,preferred_work_environment,career_path
3,2,10,3,Extrovert,Finance,6.17,Fieldwork,Artist
1,7,1,2,Ambivert,Arts,8.75,Remote,Data Scientist
3,8,10,8,Extrovert,Management,9.59,Remote,Software Engineer
5,1,6,6,Ambivert,Arts,5.54,Remote,Data Scientist
3,9,2,9,Extrovert,Programming,6.16,Remote,Data Scientist
1,7,3,8,Extrovert,Science,8.75,Remote,Data Scientist
5,3,8,10,Extrovert,Science,6.37,Remote,Financial Analyst
10,8,10,3,Ambivert,Programming,8.12,Office,Financial Analyst
7,7,6,5,Ambivert,Management,5.41,Fieldwork,Manager
7,8,3,7,Extrovert,Programming,7.26,Office,Software Engineer
9,6,7,5,Introvert,Arts,8.7,Office,Artist
10,9,4,8,Extrovert,Programming,8.43,Remote,Data Scientist
10,5,9,5,Ambivert,Programming,9.08,Fieldwork,Software Engineer
3,3,5,1,Extrovert,Management,9.39,Office,Software Engineer
7,3,3,5,Ambivert,Arts,8.87,Remote,Manager
1,1,2,4,Ambivert,Finance,8.36,Remote,Artist
4,8,2,6,Ambivert,Finance,5.16,Fieldwork,Data Scientist
4,2,3,3,Extrovert,Science,7.67,Office,Artist
5,3,2,5,Ambivert,Programming,5.19,Office,Manager
7,8,4,2,Ambivert,Science,9.04,Office,Financial Analyst
7,8,2,6,Extrovert,Management,6.6,Remote,Software Engineer
4,4,10,6,Ambivert,Finance,7.81,Fieldwork,Data Scientist
7,4,9,5,Extrovert,Programming,6.4,Fieldwork,Financial Analyst
3,5,2,6,Ambivert,Management,8.91,Office,Manager
6,6,9,7,Introvert,Management,9.43,Remote,Artist
2,5,6,5,Introvert,Programming,6.99,Office,Software Engineer
10,7,1,1,Ambivert,Management,9.31,Fieldwork,Data Scientist
9,2,4,8,Introvert,Programming,6.34,Remote,Financial Analyst
5,7,1,4,Extrovert,Programming,7.67,Office,Financial Analyst
6,10,6,9,Introvert,Arts,9.29,Office,Software Engineer
4,7,4,10,Ambivert,Science,6.63,Remote,Artist
10,1,3,6,Ambivert,Management,9.77,Fieldwork,Manager
7,7,3,1,Extrovert,Management,5.61,Remote,Artist
9,5,9,3,Ambivert,Arts,5.09,Office,Artist
7,3,6,3,Extrovert,Arts,9.52,Office,Artist
1,3,9,10,Introvert,Arts,5.34,Office,Software Engineer
1,4,5,4,Introvert,Finance,9.96,Office,Software Engineer
9,2,2,6,Extrovert,Finance,9.76,Fieldwork,Manager
9,2,8,7,Extrovert,Finance,5.69,Fieldwork,Artist
4,1,5,10,Ambivert,Programming,7.69,Office,Software Engineer
9,5,2,4,Introvert,Management,5.92,Fieldwork,Manager
3,4,4,6,Extrovert,Science,7.14,Fieldwork,Manager
7,10,9,1,Introvert,Programming,5.31,Fieldwork,Artist
6,2,4,8,Extrovert,Management,6.12,Office,Data Scientist
8,3,4,7,Introvert,Management,6.82,Remote,Artist
9,7,2,9,Ambivert,Arts,7.19,Remote,Data Scientist
5,7,6,3,Introvert,Arts,9.89,Remote,Manager
1,4,2,2,Introvert,Programming,9.04,Office,Software Engineer
3,5,7,1,Introvert,Arts,8.69,Fieldwork,Financial Analyst
10,5,3,3,Introvert,Management,7.69,Fieldwork,Manager
8,6,3,5,Introvert,Arts,9.2,Office,Software Engineer
6,9,5,2,Ambivert,Finance,6.7,Office,Manager
8,2,3,3,Extrovert,Arts,8.54,Remote,Artist
9,5,2,4,Introvert,Management,9.97,Remote,Data Scientist
4,3,10,7,Ambivert,Programming,6.57,Office,Manager
1,4,9,3,Introvert,Science,8.37,Remote,Software Engineer
1,10,2,9,Introvert,Arts,9.22,Fieldwork,Artist
10,6,2,8,Extrovert,Management,9.58,Office,Financial Analyst
4,8,8,4,Introvert,Science,8.59,Office,Artist
7,1,9,1,Ambivert,Science,6.42,Fieldwork,Data Scientist
2,10,7,1,Ambivert,Finance,6.63,Fieldwork,Artist
3,8,3,1,Extrovert,Science,5.1,Fieldwork,Financial Analyst
1,7,9,1,Introvert,Management,8.8,Remote,Software Engineer
5,1,3,8,Ambivert,Management,5.21,Office,Manager
1,2,5,3,Introvert,Arts,9.32,Remote,Data Scientist
8,3,9,6,Introvert,Arts,5.59,Fieldwork,Financial Analyst
1,1,3,3,Introvert,Arts,5.86,Remote,Data Scientist
1,9,7,5,Extrovert,Science,7.38,Fieldwork,Artist
2,8,1,7,Introvert,Science,8.69,Remote,Data Scientist
2,2,4,2,Ambivert,Finance,5.7,Remote,Financial Analyst
6,9,4,6,Introvert,Arts,7.2,Fieldwork,Manager
7,7,7,6,Ambivert,Programming,7.41,Remote,Manager
5,9,8,3,Introvert,Finance,6.06,Office,Data Scientist
1,6,1,6,Ambivert,Programming,5.58,Remote,Software Engineer
1,6,5,10,Ambivert,Science,9.18,Remote,Data Scientist
3,4,7,10,Introvert,Finance,7.51,Office,Artist
2,10,4,5,Introvert,Finance,5.07,Fieldwork,Manager
5,10,4,2,Ambivert,Management,9.01,Office,Manager
10,2,4,9,Extrovert,Science,9.9,Remote,Manager
6,7,6,8,Introvert,Science,8.03,Fieldwork,Software Engineer
7,5,7,3,Extrovert,Finance,7.52,Remote,Software Engineer
4,6,2,8,Introvert,Science,9.39,Remote,Financial Analyst
7,2,5,9,Introvert,Finance,9.76,Office,Data Scientist
8,5,4,3,Introvert,Management,8.77,Office,Data Scientist
1,10,3,3,Introvert,Finance,7.23,Fieldwork,Artist
6,4,7,2,Extrovert,Science,7.96,Fieldwork,Manager
8,9,6,8,Introvert,Science,8.5,Fieldwork,Software Engineer
5,6,7,10,Ambivert,Finance,5.97,Remote,Artist
4,2,5,1,Ambivert,Finance,7.24,Office,Artist
2,1,6,8,Extrovert,Finance,9.15,Office,Software Engineer
6,5,5,7,Introvert,Arts,8.27,Office,Data Scientist
6,9,7,7,Ambivert,Science,7.06,Fieldwork,Manager
1,6,2,3,Extrovert,Science,8.32,Office,Data Scientist
9,10,5,1,Introvert,Arts,5.59,Office,Artist
6,7,6,4,Ambivert,Finance,7.01,Office,Manager
3,5,6,9,Ambivert,Management,8.97,Fieldwork,Financial Analyst
4,10,5,5,Extrovert,Finance,6.1,Office,Artist
4,6,10,1,Introvert,Finance,5.93,Fieldwork,Data Scientist
3,5,7,5,Introvert,Arts,9.75,Office,Data Scientist
10,9,10,8,Ambivert,Science,6.05,Office,Data Scientist
3,6,8,8,Ambivert,Finance,6.3,Office,Software Engineer
3,8,7,5,Ambivert,Science,9.85,Fieldwork,Artist
4,2,5,9,Introvert,Programming,8.67,Fieldwork,Manager
7,9,1,1,Extrovert,Science,8.5,Office,Data Scientist
4,5,5,4,Extrovert,Management,9.26,Remote,Data Scientist
9,7,10,3,Introvert,Management,5.58,Fieldwork,Software Engineer
1,10,2,2,Extrovert,Finance,8.53,Fieldwork,Manager
8,1,5,8,Ambivert,Science,7.52,Office,Artist
7,10,5,7,Extrovert,Finance,9.15,Remote,Financial Analyst
2,5,2,9,Extrovert,Arts,7.54,Office,Software Engineer
8,10,5,2,Extrovert,Management,8.1,Fieldwork,Artist
1,2,4,4,Ambivert,Finance,7.39,Fieldwork,Financial Analyst
9,6,1,6,Introvert,Arts,7.39,Office,Data Scientist
9,1,3,3,Ambivert,Finance,8.84,Office,Data Scientist
2,3,1,8,Introvert,Science,8.14,Remote,Manager
7,5,5,3,Introvert,Science,8.17,Remote,Financial Analyst
10,4,4,2,Introvert,Science,7.25,Fieldwork,Data Scientist
3,3,7,3,Extrovert,Science,7.66,Remote,Data Scientist
7,10,5,6,Extrovert,Programming,8.73,Remote,Manager
10,5,10,2,Introvert,Arts,9.13,Fieldwork,Artist
9,8,4,8,Introvert,Arts,8.48,Fieldwork,Data Scientist
4,4,2,1,Extrovert,Science,9.62,Fieldwork,Software Engineer
1,1,4,7,Ambivert,Programming,9.1,Fieldwork,Software Engineer
2,7,2,2,Introvert,Science,7.81,Office,Artist
1,8,8,10,Ambivert,Programming,8.36,Fieldwork,Financial Analyst
5,3,3,6,Extrovert,Science,9.63,Fieldwork,Manager
5,6,9,2,Introvert,Management,8.1,Fieldwork,Software Engineer
7,2,4,2,Ambivert,Management,9.12,Remote,Software Engineer
9,7,6,10,Ambivert,Finance,8.44,Fieldwork,Artist
9,8,10,8,Ambivert,Science,7.76,Office,Financial Analyst
3,6,5,2,Extrovert,Arts,6.21,Office,Financial Analyst
3,6,10,7,Extrovert,Finance,7.13,Fieldwork,Artist
3,5,1,3,Ambivert,Management,9.84,Office,Software Engineer
4,8,9,8,Ambivert,Science,8.29,Remote,Manager
8,1,1,7,Extrovert,Finance,7.82,Fieldwork,Software Engineer
6,10,8,8,Ambivert,Science,9.66,Office,Financial Analyst
8,4,9,7,Ambivert,Management,7.93,Office,Software Engineer
1,4,9,6,Extrovert,Finance,7.63,Fieldwork,Manager
8,3,1,7,Ambivert,Management,8.8,Office,Data Scientist
4,3,2,5,Ambivert,Programming,8.56,Fieldwork,Software Engineer
1,4,1,7,Ambivert,Management,5.97,Office,Artist
8,1,10,1,Extrovert,Science,7.36,Remote,Data Scientist
4,2,2,1,Ambivert,Arts,7.36,Office,Artist
6,9,10,9,Extrovert,Management,6.89,Office,Artist
8,10,8,5,Extrovert,Arts,7.59,Fieldwork,Artist
4,2,5,5,Introvert,Programming,7.07,Office,Software Engineer
3,5,7,3,Introvert,Finance,6.0,Fieldwork,Financial Analyst
9,9,2,5,Ambivert,Finance,7.06,Remote,Data Scientist
3,9,8,3,Extrovert,Arts,5.36,Fieldwork,Manager
9,8,6,9,Introvert,Finance,7.88,Fieldwork,Financial Analyst
2,1,8,9,Ambivert,Management,9.27,Office,Software Engineer
2,1,1,6,Introvert,Arts,8.63,Remote,Artist
2,9,1,1,Introvert,Science,6.8,Fieldwork,Manager
6,8,7,7,Extrovert,Management,5.44,Office,Data Scientist
3,10,8,7,Extrovert,Management,6.01,Office,Financial Analyst
9,9,3,10,Introvert,Management,7.73,Fieldwork,Financial Analyst
4,7,5,10,Introvert,Science,6.04,Office,Manager
1,3,1,4,Extrovert,Programming,7.72,Fieldwork,Software Engineer
4,3,7,8,Ambivert,Finance,6.16,Fieldwork,Data Scientist
1,2,5,6,Extrovert,Arts,9.24,Fieldwork,Manager
5,5,8,4,Introvert,Programming,6.99,Remote,Artist
4,3,8,4,Ambivert,Arts,6.23,Fieldwork,Data Scientist
8,6,9,2,Introvert,Finance,9.06,Office,Financial Analyst
8,2,7,2,Ambivert,Science,6.71,Remote,Manager
7,3,1,4,Introvert,Management,5.56,Office,Financial Analyst
3,5,3,5,Ambivert,Management,7.85,Remote,Financial Analyst
1,1,8,8,Ambivert,Science,7.91,Remote,Financial Analyst
1,1,3,6,Introvert,Programming,8.57,Remote,Software Engineer
3,10,8,4,Ambivert,Programming,6.2,Remote,Financial Analyst
6,9,1,7,Extrovert,Arts,7.22,Office,Artist
7,7,5,8,Introvert,Science,6.41,Fieldwork,Artist
6,1,4,2,Extrovert,Programming,5.4,Office,Data Scientist
6,8,5,7,Introvert,Science,9.38,Fieldwork,Financial Analyst
6,3,8,2,Ambivert,Finance,8.64,Office,Financial Analyst
3,8,10,2,Ambivert,Management,6.51,Remote,Manager
6,5,4,8,Ambivert,Management,8.0,Remote,Software Engineer
8,1,4,2,Introvert,Management,6.01,Fieldwork,Data Scientist
2,7,3,9,Extrovert,Science,9.45,Fieldwork,Financial Analyst
5,5,7,1,Extrovert,Science,5.57,Office,Manager
1,6,3,9,Introvert,Arts,5.02,Fieldwork,Software Engineer
1,6,3,1,Introvert,Management,7.51,Office,Data Scientist
5,8,10,10,Extrovert,Arts,7.92,Fieldwork,Data Scientist
3,9,5,10,Extrovert,Management,7.89,Fieldwork,Financial Analyst
4,2,5,2,Extrovert,Arts,5.27,Fieldwork,Data Scientist
3,9,6,6,Extrovert,Arts,6.57,Remote,Manager
1,10,8,6,Introvert,Finance,7.5,Remote,Data Scientist
1,9,10,1,Introvert,Arts,6.08,Office,Artist
5,10,6,7,Ambivert,Science,9.36,Fieldwork,Manager
6,10,1,8,Extrovert,Arts,5.44,Office,Software Engineer
3,7,8,2,Ambivert,Management,7.44,Fieldwork,Software Engineer
9,1,8,8,Introvert,Arts,8.46,Remote,Financial Analyst
5,7,9,9,Introvert,Programming,6.31,Remote,Financial Analyst
8,10,9,6,Ambivert,Management,8.12,Fieldwork,Artist
1,5,2,5,Extrovert,Programming,9.15,Fieldwork,Software Engineer
5,6,2,9,Extrovert,Management,5.95,Remote,Software Engineer
3,10,3,9,Extrovert,Science,9.59,Remote,Software Engineer
1,7,1,1,Extrovert,Science,7.77,Office,Software Engineer
4,5,4,3,Ambivert,Science,6.5,Remote,Data Scientist
5,7,4,9,Ambivert,Programming,7.15,Fieldwork,Manager
7,9,9,2,Introvert,Finance,6.56,Office,Manager
1,3,9,4,Extrovert,Management,8.63,Fieldwork,Artist
3,8,9,4,Extrovert,Science,8.98,Office,Data Scientist
2,2,10,2,Extrovert,Management,9.16,Fieldwork,Software Engineer
9,7,7,3,Ambivert,Programming,9.93,Remote,Software Engineer
10,2,2,3,Extrovert,Finance,8.96,Fieldwork,Financial Analyst
6,4,10,1,Ambivert,Programming,8.01,Office,Financial Analyst
10,7,5,6,Extrovert,Management,6.7,Fieldwork,Artist
3,3,4,8,Extrovert,Finance,7.72,Office,Software Engineer
8,2,8,3,Introvert,Finance,5.21,Fieldwork,Artist
8,10,2,5,Extrovert,Programming,8.72,Remote,Data Scientist
2,7,6,1,Extrovert,Science,7.23,Remote,Manager
6,1,5,10,Introvert,Management,5.1,Fieldwork,Software Engineer
7,8,2,7,Ambivert,Arts,5.31,Fieldwork,Data Scientist
2,3,10,10,Ambivert,Arts,6.94,Fieldwork,Software Engineer
10,2,1,1,Extrovert,Programming,7.92,Office,Financial Analyst
2,3,8,9,Ambivert,Management,7.32,Fieldwork,Artist
10,5,2,8,Extrovert,Management,8.1,Fieldwork,Financial Analyst
1,8,7,7,Introvert,Programming,7.4,Office,Manager
8,10,9,10,Introvert,Management,8.31,Remote,Financial Analyst
1,7,9,7,Extrovert,Science,6.1,Fieldwork,Software Engineer
9,7,8,5,Introvert,Programming,5.56,Fieldwork,Financial Analyst
6,7,10,5,Introvert,Science,7.98,Remote,Software Engineer
7,8,9,5,Extrovert,Management,7.42,Remote,Manager
10,1,2,1,Extrovert,Programming,5.13,Office,Financial Analyst
7,4,6,8,Introvert,Management,6.9,Fieldwork,Artist
10,6,4,1,Ambivert,Programming,5.53,Fieldwork,Artist
3,9,4,4,Ambivert,Management,7.66,Office,Artist
2,2,5,9,Extrovert,Science,6.98,Remote,Financial Analyst
9,1,3,9,Extrovert,Science,8.07,Office,Financial Analyst
8,10,1,5,Ambivert,Management,9.03,Remote,Financial Analyst
10,2,8,4,Introvert,Programming,6.5,Office,Software Engineer
7,7,5,3,Ambivert,Arts,9.81,Remote,Manager
9,3,3,3,Ambivert,Science,7.68,Office,Artist
4,10,10,5,Ambivert,Science,8.09,Remote,Software Engineer
4,2,7,10,Ambivert,Arts,8.4,Remote,Artist
1,7,7,1,Extrovert,Management,8.33,Remote,Software Engineer
8,2,1,5,Extrovert,Programming,7.55,Remote,Financial Analyst
3,3,9,6,Introvert,Management,7.14,Remote,Artist
7,7,2,7,Introvert,Finance,5.27,Fieldwork,Financial Analyst
2,4,5,9,Introvert,Science,5.11,Remote,Artist
2,1,5,3,Introvert,Finance,6.79,Fieldwork,Data Scientist
7,5,8,2,Ambivert,Science,6.67,Remote,Software Engineer
6,9,8,3,Extrovert,Science,6.94,Fieldwork,Data Scientist
3,8,7,9,Extrovert,Finance,5.69,Fieldwork,Software Engineer
9,9,7,7,Introvert,Finance,8.69,Office,Manager
10,10,6,9,Introvert,Management,9.28,Remote,Artist
6,9,6,2,Ambivert,Finance,9.69,Office,Manager
10,7,9,5,Ambivert,Management,7.46,Office,Manager
10,4,6,4,Introvert,Management,8.5,Remote,Software Engineer
6,5,2,2,Extrovert,Management,9.28,Office,Data Scientist
1,1,2,9,Extrovert,Science,7.09,Remote,Financial Analyst
4,1,5,9,Extrovert,Science,6.55,Office,Software Engineer
10,3,4,6,Introvert,Finance,9.68,Remote,Financial Analyst
6,8,2,6,Extrovert,Science,7.58,Remote,Manager
6,2,3,8,Ambivert,Finance,7.49,Remote,Financial Analyst
5,4,7,6,Ambivert,Science,5.89,Fieldwork,Data Scientist
1,2,8,1,Introvert,Programming,5.54,Office,Software Engineer
8,5,6,4,Ambivert,Programming,9.21,Fieldwork,Data Scientist
5,9,5,7,Introvert,Finance,8.07,Office,Data Scientist
5,1,1,2,Extrovert,Science,6.63,Office,Software Engineer
7,5,8,9,Extrovert,Science,5.96,Office,Data Scientist
4,9,3,8,Extrovert,Management,7.78,Fieldwork,Artist
6,1,6,8,Ambivert,Arts,7.92,Office,Artist
4,9,3,7,Introvert,Finance,6.03,Fieldwork,Artist
3,8,7,4,Extrovert,Arts,9.26,Remote,Financial Analyst
7,4,7,2,Introvert,Arts,5.42,Office,Data Scientist
8,10,9,3,Extrovert,Finance,6.78,Office,Software Engineer
4,5,5,6,Ambivert,Science,8.4,Remote,Software Engineer
2,5,8,5,Ambivert,Finance,6.37,Remote,Financial Analyst
10,6,10,8,Introvert,Arts,9.14,Office,Software Engineer
3,7,10,6,Ambivert,Science,8.7,Remote,Artist
1,8,8,6,Ambivert,Programming,8.95,Fieldwork,Data Scientist
8,8,1,1,Introvert,Finance,5.6,Fieldwork,Software Engineer
3,2,5,4,Extrovert,Finance,5.7,Office,Software Engineer
10,9,3,5,Ambivert,Science,6.43,Fieldwork,Manager
7,7,1,3,Introvert,Programming,7.59,Fieldwork,Manager
10,4,4,9,Ambivert,Programming,8.74,Office,Manager
5,4,8,1,Ambivert,Science,9.18,Remote,Data Scientist
10,8,3,6,Ambivert,Management,8.52,Office,Artist
5,4,10,6,Ambivert,Finance,9.64,Fieldwork,Artist
7,6,2,10,Introvert,Finance,8.69,Office,Artist
9,5,9,5,Introvert,Arts,6.53,Office,Data Scientist
5,3,10,5,Introvert,Science,6.33,Fieldwork,Data Scientist
1,10,5,10,Ambivert,Arts,8.48,Fieldwork,Manager
10,2,7,5,Ambivert,Arts,5.96,Office,Software Engineer
10,9,2,6,Ambivert,Programming,5.46,Fieldwork,Financial Analyst
1,10,9,8,Introvert,Finance,7.66,Fieldwork,Financial Analyst
2,9,9,2,Ambivert,Arts,9.11,Fieldwork,Software Engineer
6,1,4,6,Extrovert,Programming,5.51,Fieldwork,Manager
9,10,4,1,Ambivert,Science,8.96,Fieldwork,Software Engineer
8,3,6,4,Extrovert,Arts,9.06,Fieldwork,Software Engineer
5,8,10,10,Ambivert,Finance,7.41,Remote,Financial Analyst
1,6,10,3,Introvert,Arts,5.29,Office,Manager
7,5,10,9,Ambivert,Science,5.87,Fieldwork,Data Scientist
5,5,6,3,Extrovert,Arts,8.54,Office,Financial Analyst
6,6,1,6,Extrovert,Finance,8.56,Remote,Data Scientist
7,7,9,1,Ambivert,Programming,9.49,Fieldwork,Manager
3,1,2,6,Extrovert,Finance,7.91,Office,Software Engineer
10,9,5,4,Extrovert,Programming,5.62,Fieldwork,Artist
3,3,9,8,Introvert,Management,5.61,Fieldwork,Artist
5,4,4,9,Ambivert,Finance,8.61,Fieldwork,Manager
6,10,3,4,Ambivert,Finance,5.92,Fieldwork,Artist
9,1,7,10,Ambivert,Science,6.64,Fieldwork,Data Scientist
5,10,6,10,Extrovert,Arts,7.44,Fieldwork,Artist
1,3,8,6,Ambivert,Programming,5.12,Fieldwork,Manager
4,2,3,1,Ambivert,Programming,6.24,Remote,Manager
5,2,5,4,Introvert,Science,7.04,Remote,Data Scientist
10,1,10,7,Introvert,Science,6.4,Fieldwork,Artist
10,8,4,1,Introvert,Arts,5.68,Fieldwork,Artist
5,3,4,8,Extrovert,Arts,8.64,Remote,Software Engineer
7,3,4,10,Ambivert,Finance,9.07,Remote,Financial Analyst
4,6,10,6,Introvert,Management,6.29,Remote,Manager
1,8,8,5,Introvert,Arts,8.87,Fieldwork,Software Engineer
5,9,6,10,Introvert,Science,6.93,Office,Manager
7,9,3,9,Ambivert,Arts,7.53,Office,Software Engineer
10,4,10,2,Ambivert,Programming,9.28,Office,Financial Analyst
10,5,5,5,Ambivert,Management,8.75,Office,Software Engineer
6,2,6,6,Extrovert,Finance,9.03,Fieldwork,Manager
5,9,5,7,Extrovert,Programming,5.68,Office,Artist
4,8,6,5,Introvert,Programming,5.35,Remote,Manager
2,3,8,9,Ambivert,Management,9.47,Remote,Data Scientist
4,9,7,1,Introvert,Finance,6.94,Office,Data Scientist
10,3,5,7,Ambivert,Science,6.44,Remote,Data Scientist
10,9,10,10,Ambivert,Finance,8.62,Fieldwork,Data Scientist
